domain,"domain_type","domain_wc","match_depth","sort_order"
"s3-object-lambda.cn-north-1.amazonaws.com.cn",PRIVATE,"*.s3-object-lambda.cn-north-1.amazonaws.com.cn",6,4
"s3-object-lambda.cn-north-1.amazonaws.com.cn",PRIVATE,"s3-object-lambda.cn-north-1.amazonaws.com.cn",6,4
"s3-website.cn-north-1.amazonaws.com.cn",PRIVATE,"*.s3-website.cn-north-1.amazonaws.com.cn",6,4
"s3-website.cn-north-1.amazonaws.com.cn",PRIVATE,"s3-website.cn-north-1.amazonaws.com.cn",6,4
"s3.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3.cn-northwest-1.amazonaws.com.cn",6,4
"s3.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3.cn-northwest-1.amazonaws.com.cn",6,4
"s3-accesspoint.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3-accesspoint.cn-northwest-1.amazonaws.com.cn",6,4
"s3-accesspoint.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3-accesspoint.cn-northwest-1.amazonaws.com.cn",6,4
"s3-object-lambda.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3-object-lambda.cn-northwest-1.amazonaws.com.cn",6,4
"s3-object-lambda.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3-object-lambda.cn-northwest-1.amazonaws.com.cn",6,4
"s3-website.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3-website.cn-northwest-1.amazonaws.com.cn",6,4
"s3-website.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3-website.cn-northwest-1.amazonaws.com.cn",6,4
"s3.dualstack.af-south-1.amazonaws.com",PRIVATE,"*.s3.dualstack.af-south-1.amazonaws.com",6,4
"s3.dualstack.af-south-1.amazonaws.com",PRIVATE,"s3.dualstack.af-south-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.af-south-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.af-south-1.amazonaws.com",6,4
